,French Polynesia,Australia,Egypt,Somalia,Algeria,United States,Brazil,Germany,Suriname,Kiribati,Denmark,South Africa,United Arab Emirates,Venezuela,Indonesia,Russian Federation,China,Western Samoa,Philippines,Yemen,Guatemala,Nigeria,Spain,Iran,Ivory Coast (Cote d'Ivoire),Ethiopia,Papua New Guinea,Saudi Arabia,United Kingdom,Mexico,Ghana,Colombia,Switzerland,Sri Lanka,Panama,Turkey,Namibia,Jordan,Sudan,South Sudan,Chad,Mauritania,Argentina,Norway,Iceland,Uzbekistan,Solomon Islands,Morocco,France,Sweden,Japan,Greenland,Greece,India,Paraguay,Guyana,Italy,Honduras,Oman,Madagascar,Marshall Islands,Central African Republic,Djibouti,Cook Islands,Comoros,Niger,Gabon,Libya,New Zealand,Cyprus,Canada,Kazakhstan,Myanmar,Peru,Syria,Andorra,Mozambique,Netherlands,Kenya,Chile,Congo,Angola,Belgium,Austria,Antigua and Barbuda,Malaysia,Laos,Bolivia,Fiji,Tanzania,Burkina Faso,Romania,Eritrea,Turkmenistan,Bahamas,Saint Helena,Ecuador,Pakistan,Uruguay,Aruba,East Timor,Vanuatu,Cuba,Mongolia,Portugal,United States Minor Outlying Islands,Anguilla,"Macau (SAR), China",Dominican Republic,Bahrain,Costa Rica,Azerbaijan,Democratic Republic of the Congo,Botswana,Cambodia,Guadeloupe,Zambia,Belize,Bermuda,Seychelles,Nepal,Nicaragua,Serbia,Israel,Lebanon,Zimbabwe,Thailand,Cameroon,Barbados,Iraq,Afghanistan,Gambia,Burundi,Guinea,Mali,Ireland,Malawi,Vietnam,New Caledonia,Bosnia and Herzegovina,Bulgaria,"Bonaire, Saint Eustatius & Saba",Guinea Bissau,Belarus,Saint Vincent and Grenadines,Czech Republic,Equatorial Guinea,Sierra Leone,Rwanda,Slovakia,Hungary,Georgia,Bhutan,Cape Verde,Croatia,Brunei Darussalam,Senegal,Poland,Liberia,Bangladesh,Moldova,Haiti,French Guiana,Cocos (Keeling) Islands,Estonia,South Korea,Ukraine,Chinese Taipei,Benin,Grenada and South Grenadines,Curacao,Cayman Islands,Dominica,Maldives,Unknown Country,Latvia,Qatar,Tunisia,North Korea,Albania,Tajikistan,Mayotte,Uganda,British Virgin Islands,Finland,Tonga,Western Sahara,Armenia,Martinique,Kyrgyzstan,Saint Pierre and Miquelon,Tuvalu,Wallis and Futuna Islands,Turks and Caicos Islands,Gibraltar,Palestinian Territory,Malta,"Hong Kong (SAR), China",Lithuania,Montenegro,El Salvador,Nauru,Niue,Jamaica,Micronesia,Kuwait,Lesotho,Togo,Slovenia,Luxembourg,Monaco,Singapore,Montserrat,Falkland Islands,Mauritius,Swaziland,Saint Kitts and Nevis,Norfolk Island,Macedonia,Sao Tome and Principe,Trinidad and Tobago,Liechtenstein,Palau,Reunion,Saint Barthelemy,Saint Martin,Saint Lucia,Sint Maarten,Antarctica,Christmas Island
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0,411,74,0,6,69701,3304,2725,17,0,272,56,228,1493,28,304,1377,0,73,0,899,3,19900,0,0,16,0,29,2527,12274,0,17981,1369,13,8874,60,0,4,4,0,0,0,3284,119,0,2,0,32,2235,461,292,0,21,73,599,53,4238,731,3,0,0,0,0,0,0,0,0,0,101,0,5570,0,9,12705,0,0,4,1150,10,7300,0,0,635,213,0,12,0,622,0,0,0,52,0,0,145,0,279944,19,617,127,0,0,1390,0,184,0,0,0,766,2,1220,5,0,12,0,8,0,18,22,0,0,176,3,144,7,10,32,7,17,0,2,0,0,0,0,49,0,12,0,0,4,0,0,8,0,122,0,0,0,0,39,0,0,0,7,0,0,105,6,29,0,12,0,0,7,136,45,15,0,6,329,13,0,0,0,4,23,0,0,0,0,0,3,0,133,0,0,0,0,0,0,0,0,78,0,0,3,139,0,0,675,0,0,32,0,55,0,0,0,38,0,47,0,0,0,0,0,0,0,0,46,0,0,0,0,0,9,56,0,0
Pakistan,0,9226,3444,198,82,24132,89,13398,0,0,3589,3184,165546,0,1376,536,13701,0,486,0,0,493,7650,5071,59,114,0,234509,64544,41,95,22,656,2561,11,7988,11,924,614,304,66,5,10,3356,0,311,0,213,3655,2317,2085,0,1105,220,0,0,11468,0,21251,179,0,22,33,0,0,9,5,27,489,328,15487,10,69,0,49,0,677,2673,1073,30,29,51,1307,973,0,11177,10,5,0,589,37,118,57,0,2,0,10,238935,2,0,0,0,4,0,609,0,0,0,2,7273,0,3107,94,221,117,0,198,0,3,36,214,0,26,0,875,65,6919,15,0,3415,1568,10,2,14,78,1578,584,160,0,49,36,0,2,52,0,474,1,43,43,9,145,729,0,0,2,14,145,155,12,563,0,7,0,0,19,590,634,38,33,0,0,2,0,375,0,54,15628,352,0,3,0,0,449,0,374,0,0,513,0,170,0,0,0,0,0,0,76,2597,6,3,0,0,0,2,0,9958,51,4,14,34,0,1939,0,0,195,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Uruguay,0,262,50,0,0,10265,39080,1020,0,0,164,206,73,152,28,55,64,0,91,0,142,0,9025,0,0,9,0,0,1043,3963,1,2073,567,0,1056,45,0,11,0,0,0,0,19988,94,0,0,0,0,1201,418,97,0,25,66,3376,0,1486,23,0,0,0,0,0,0,0,0,0,0,66,2,692,0,0,2668,0,0,0,301,0,11256,0,0,285,76,0,11,0,219,0,0,0,13,0,0,3,0,623,5,64,143,0,0,1124,0,222,0,0,0,2066,8,1005,0,3,0,0,0,0,10,0,0,0,169,20,362,7,0,185,0,11,0,0,0,0,0,0,91,2,15,0,0,0,0,0,0,0,73,0,0,0,0,8,0,0,0,14,0,0,19,0,8,0,0,0,0,0,78,2,10,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,18,247,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,93,0,0,65,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Aruba,0,4,4,0,0,74027,851,120,1102,0,36,0,1,2111,0,65,4,0,78,0,109,11,227,3,0,0,0,4,165,136,7,5264,133,3,2216,21,0,0,0,0,0,0,798,70,4,0,0,0,139,88,4,0,20,28,297,14,884,109,0,0,0,0,0,0,0,0,0,0,0,0,7172,0,0,272,0,0,0,1596,0,380,0,0,11,4,7,0,0,45,0,0,0,11,0,0,37,0,119,0,138,0,0,0,101,0,11,0,0,0,926,0,86,0,0,0,0,0,0,0,0,0,0,813,0,173,0,0,52,0,0,0,0,0,0,0,0,35,0,0,0,0,0,291,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0,47,0,0,0,0,0,0,0,0,13,3,0,0,4902,8,0,0,0,0,1,2,0,0,0,0,0,2,49,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,136,0,0
East Timor,0,2172,0,0,0,0,0,0,0,0,0,0,0,0,9447,0,282,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,10792,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,6,0,0,0,0,0,0,0,168,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,40,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2761,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1860,0,0,0,0,0,0,0,0,0,0,0,0,19829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,66,162,0,12,72310,1159,14802,4200,0,1176,836,99,1225,16,11394,1058,0,13,0,834,21,16853,11,0,43,0,5,4133,37319,8,4137,2833,22,10563,2114,8,35,0,0,11,0,4881,650,0,24,0,29,14470,1789,1330,0,519,52,361,274,16070,276,20,0,0,0,0,0,0,3,5,0,118,73,146677,9,41,2934,0,0,4,1287,7,3613,0,604,784,1854,8,29,0,828,0,1,0,172,0,2,1289,0,1730,0,1390,2501,0,0,10835,3,1110,0,0,0,3727,7,1929,3,0,0,0,8,0,160,54,81,0,1394,186,398,93,0,27,0,200,15,0,0,0,0,0,462,0,213,0,0,95,52,0,222,0,1183,0,0,0,35,633,0,0,0,259,0,0,1189,0,0,0,9355,0,0,38,934,260,5,0,0,245,518,42,188,0,105,2,19,0,156,45,0,0,10,1403,0,0,143,6,2,0,0,0,151,0,0,13,73,39,6,617,0,0,1428,0,3,0,5,33,95,0,23,0,0,148,0,87,0,0,0,891,0,0,0,0,0,9,145,0,0
Mongolia,0,884,19,0,0,2191,0,635,0,0,4,192,276,0,200,1969,7479,0,284,0,0,0,25,5,0,0,0,0,173,0,0,2,151,7,2,920,0,0,5,0,0,0,0,13,0,6,0,0,340,99,1979,0,0,144,0,0,162,0,2,0,0,0,0,0,0,0,0,0,40,0,105,540,9,0,0,0,0,38,2,7,0,0,61,61,0,146,3,0,2,20,0,18,0,0,0,0,0,0,0,0,0,0,0,11763,1,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,8,0,31,69,2,0,1787,0,0,2,0,0,0,0,0,39,0,239,0,0,12,0,0,6,0,509,0,0,0,0,230,3,0,0,2,0,0,46,0,3,0,0,0,0,4,14561,20,68,0,0,0,0,0,9,0,2,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2697,2,0,0,0,0,0,0,1,0,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,17,2207,951,0,1555,38765,73301,108414,4,0,10828,7937,5779,2519,1159,7828,6084,0,560,0,94,314,155507,44,904,145,0,824,185006,1558,587,1209,82252,211,332,5157,586,151,13,0,46,42,1291,5748,107,32,0,9770,197242,7407,3435,0,2875,3505,29,3,72244,47,114,10,0,88,32,0,0,58,87,0,213,389,10754,88,86,730,0,0,5084,52790,197,1126,81,19209,38512,18885,8,551,8,71,3,254,26,3819,0,0,21,0,245,687,254,9,0,0,1062,16,259428,0,0,7,499,110,392,23,55,21,85,10,74,4,847,94,1418,20,353,4411,255,97,3031,196,38,50,19,327,9,354,171,22307,384,511,12,33,755,17,2667,58,0,3292,38,0,47,34,8988,104,0,11522,992,2,772,10394,17,737,739,2,0,0,545,5892,2444,1121,16,0,77,2,6,524,0,1051,651,474,0,91,15,4,176,0,5887,0,33,32,7,24,0,0,0,0,0,0,2257,2364,387,0,36,0,0,44,0,369,0,27,147,22394,0,1271,0,0,284,3,0,0,17,2578,9,0,0,64,14,0,0,190,0,0
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,0,0,0,0,0,2415,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,223,0,0,853,0,0
"Macau (SAR), China",0,1194,0,0,0,693,0,1,0,0,4,2,3,0,1332,21,181077,0,26402,0,0,0,4,0,0,0,0,200,46,0,0,0,13,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,18692,0,56,979,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,213,0,118,0,0,0,0,4,0,0,0,0,0,28,0,12037,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,9019,0,0,0,0,0,14,0,1,0,0,0,26916,0,0,0,0,0,0,0,0,0,0,13754,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,43765,2,68117,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5903,0,0,0,0,0,0,0,0,0,0,1981,0,0,0,0,0,0,0
Dominican Republic,0,91,796,0,29,302282,9268,27058,399,0,1889,290,40,10290,29,11481,177,0,97,0,1294,135,25632,33,0,0,0,19,14124,6128,142,12071,5560,3,5863,647,0,6,0,0,0,0,12183,239,0,71,0,25,22102,1749,209,0,59,40,829,1877,17502,807,93,0,0,0,0,0,0,0,0,0,8,7,126312,22,3,5064,0,0,2,946,264,9997,0,0,3156,955,524,94,0,1282,0,135,8,513,0,2,883,0,841,8,1789,925,0,0,4785,0,521,0,192,0,0,7,3372,0,0,0,0,323,0,168,52,115,0,564,196,495,4,0,77,0,71,20,0,0,0,0,0,416,0,105,0,23,58,248,0,114,0,347,0,0,0,24,1141,2,0,0,125,0,4,694,0,0,26,1552,25,0,83,58,512,13,0,45,1416,211,145,61,0,100,3,122,0,159,49,0,0,1054,1980,0,0,62,195,6,0,0,0,1072,0,0,14,34,15,0,567,0,0,2770,0,8,0,0,68,4,0,24,1,0,357,0,196,0,18,0,447,0,0,0,8,52,62,2347,0,0
Bahrain,0,235,6948,8,66,3611,105,2382,0,0,81,246,43462,4,1231,1369,925,0,3492,0,0,81,866,3604,5,981,0,20412,5268,19,83,20,418,1352,17,15819,0,2402,560,2,9,0,13,48,0,4,0,1091,1659,86,179,0,434,36217,4,0,1315,0,6779,3,0,0,34,0,0,0,0,1,45,104,571,276,17,0,3,0,8,496,566,6,0,8,104,197,0,1423,8,0,2,8,0,68,10,0,0,0,0,7509,0,0,0,0,0,0,106,0,0,1,0,0,0,1738,0,6,2,0,0,0,2,43,1707,0,51,3,1280,12,3981,65,0,4354,17,8,0,0,0,154,0,170,0,545,47,0,0,64,0,128,0,0,3,0,77,823,0,0,18,0,8,123,0,8895,3,0,0,0,27,127,83,16,2,0,0,0,0,94,0,13,1143,341,0,5,0,0,72,0,27,0,0,0,0,80,0,0,0,0,0,0,13,233,12,0,0,0,0,0,0,17189,0,5,20,28,0,388,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,11,365.9999,33,0,0,168184.9975,1859.00079,6138.99971,21,0,1830.0002,29,59.00001,1220.00001,28.00002,307.99993,276.99991,0,134.99994,0,10669.9995,28,7343.99973,1,2,0,0,19,7778.00091,26016.00432,0,9692.00049,5063.99762,0,13414.99542,48,0,0,0,4,0,0,2836.999,790.99997,5,4,0,11,8014.00047,3492.99976,456.00004,0,14,225.00001,100.99999,13,3216.99975,5637.00025,5,0,0,0,0,0,0,0,15,0,59.00001,5,37151.9978,0,0,3098,0,0,0,2984.0006,31,1644.00016,0,4,473,670.99983,15,88,0,200.00001,0,13,0,127.00002,0,0,254,0,1008.00008,0,693.9999,66,0,0,2015.99931,0,487.00004,0,0,0,2966.99945,0,28422,0,0,0,3,0,3,218,33.00001,0,0,4465.00013,7,474,9,0,32,0,11,2,0,0,0,0,0,377.99999,0,24,0,0,37.00001,7,0,0,0,399.99994,0,0,2,0,176.00001,0,0,0,19,0,0,333.00008,0,0,0,109,0,0,7,82.99995,86.99995,18,0,3,155.99996,71.99996,0,0,0,63.00001,9,9,0,0,0,0,10,7,210.99997,0,0,3,0,0,0,0,0,47,0,0,6,110,23,6,6772.0023,0,0,217.99997,0,7,0,0,0,131.99997,0,118.99999,0,0,11,0,0,0,0,0,91.9999,0,0,0,0,0,4,87.99996,0,0
Azerbaijan,0,108,215,25,1,897,60,2432,0,0,80,54,15826,10,84,36596,1651,0,31,0,6,23,607,3465,0,0,0,5309,2853,42,11,6,622,415,0,34282,0,143,0,7,0,4,22,89,0,1409,0,86,1025,318,58,0,72,2453,0,0,1211,0,835,0,0,0,0,0,0,0,5,0,11,153,187,4175,6,0,9,0,3,491,6,0,2,26,213,320,0,252,0,7,0,5,0,113,11,33,3,0,0,3869,17,0,0,0,8,2,23,0,0,0,9,1612,0,507,0,0,0,0,0,0,0,0,222,0,63,2671,138,0,599,0,0,5159,20,0,0,0,0,47,0,177,0,0,49,0,0,906,0,279,0,0,0,0,1358,4206,0,0,303,0,7,305,0,183,69,0,0,0,105,247,5779,3,0,0,0,0,0,29,0,195,2555,20,0,34,13,0,6,0,129,0,0,0,0,42,0,0,0,0,0,0,7,67,127,212,0,0,0,0,0,4715,0,0,28,9,0,165,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,0,38,148,6,0,611,19,358,0,0,14,3481,260,0,3,49,3359,0,27,0,0,373,78,0,166,5164,0,5,773,7,44,0,1042,0,0,136,16,2,19,0,10,0,0,40,0,0,0,439,4584,181,37,0,18,633,0,0,326,0,4,18,0,10,0,0,0,12,356,0,0,39,784,4,0,0,0,0,16,12,1424,0,273,239,1849,68,0,26,0,0,0,83,33,0,1,0,0,0,0,111,3,0,0,0,0,0,38,0,0,0,0,0,0,3,38154,31,0,0,818,0,0,15,0,0,12,70,724,91,23,933,0,2,0,0,42,17,54,167,5,36,0,0,14,0,0,0,0,4,20,0,1681,0,37,0,0,0,0,0,133,10,10,0,0,0,0,0,0,44,17,6,38,0,0,0,0,0,0,0,9,74,0,0,0,0,2209,0,30,0,0,0,0,0,0,0,0,0,0,0,11,137,0,0,0,0,0,0,0,0,0,67,0,12,0,20,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Botswana,0,246,23,0,12,480,12,325,0,0,15,12573,214,0,9,0,817,0,15,0,0,105,6,0,3,1479,0,5,792,0,58,0,149,60,6,19,633,4,18,0,0,0,0,24,0,21,0,46,88,65,20,0,7,1365,0,0,28,0,0,7,0,0,3,0,0,0,0,0,72,0,83,0,0,3,0,0,109,11,321,0,0,43,87,37,0,20,0,0,0,214,0,11,0,0,0,0,17,99,0,0,0,0,0,0,14,0,0,0,0,8,0,0,33,7378,0,0,259,0,0,0,0,0,7,82,6,341,34,0,0,0,0,0,0,0,4,82,83,0,0,0,12,0,0,0,0,18,0,0,35,0,3,0,0,0,6,0,0,9,0,99,0,0,0,0,0,38,3,0,0,0,0,0,0,3,0,0,73,16,0,0,0,0,104,0,19,0,0,0,0,0,0,0,0,0,0,0,16,51,0,0,0,0,0,0,0,14,18,0,0,0,0,57,0,0,242,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,9450,8,0,2,2746,29,1788,0,0,399,141,602,0,9368,606,172466,0,6340,0,0,61,436,17,2,5,0,127,2769,14,4,5,1102,848,0,202,6,24,0,0,0,0,11,111,5,1,0,26,5411,359,17575,0,46,4621,0,0,1416,0,0,0,0,1,11,0,0,2,0,0,1445,4,1659,13,3459,0,0,0,7,466,24,0,0,0,513,240,0,23978,8011,0,5,2,0,43,0,4,0,0,0,85,0,0,4,0,0,24,127,0,0,8578,0,7,0,0,0,7,80391,0,6,0,0,0,301,0,4,90,42,6,84001,4,0,0,5,0,0,0,30,197,6,45424,0,6,55,0,2,2,0,214,0,0,3,0,256,4,7,0,3,426,5,49,0,295,0,0,0,0,0,22577,75,11773,0,0,0,0,0,290,0,8,55,34,0,0,0,0,24,0,287,0,0,0,0,0,0,0,0,0,0,0,0,12492,2,0,0,0,0,0,0,7,1,0,5,4,0,17239,0,0,29,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0
Guadeloupe,0,0,44,0,305,1826,1,1078,0,0,134,2,4,0,0,23,0,0,0,0,19,0,299,4,0,0,0,2,6,6,0,28,149,0,13,81,0,1,0,0,0,1,16,20,0,0,0,0,71122,76,13,0,3,0,0,7,2827,4,0,0,0,0,0,0,0,0,0,0,0,2,4092,0,0,0,0,0,0,24,0,11,0,0,1244,12,429,0,0,0,0,0,1,20,0,2,10,0,7,0,4,0,0,0,28,0,0,0,0,0,369,0,15,0,0,0,0,0,0,0,0,0,0,5,0,2,2,0,0,0,562,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,0,0,29,0,0,0,0,0,0,3,0,0,0,643,1065,0,0,0,0,0,0,63,45,0,342,41,0,0,2,16,0,0,0,0,0,45,13,0,0,0,12219,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,15,0,0,0,13,0,0,425,1410,5538,109,399,0,0
Zambia,0,443,135,3,0,426,84,196,0,0,89,16105,1078,0,27,40,5549,0,59,0,0,319,31,2,27,493,0,51,1655,2,108,2,73,49,0,250,401,10,31,6,4,0,0,63,0,0,0,89,157,96,99,0,50,3187,0,2,149,0,13,14,0,4,0,0,0,0,2,0,46,10,182,0,2,5,0,0,222,94,2024,13,0,293,33,31,0,53,0,0,0,1351,8,30,10,0,0,0,0,79,0,0,0,0,0,0,19,0,0,0,0,0,2,0,847,329,11,0,10574,0,0,14,6,8,12,156,175,6234,151,29,0,0,2,0,7,0,3,56,799,17,0,0,0,0,0,4,0,38,0,4,1528,0,12,0,0,0,2,0,14,30,0,46,0,0,0,0,0,46,20,4,0,0,0,0,0,11,0,4,79,2,0,0,0,0,401,0,50,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,5,42,3,7,0,0,38,0,0,160,18,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Belize,0,21,0,0,0,34436.99989,148,281,0,0,84,0,7,4,0,0,27.99996,0,0,0,1116.00007,8,187,0,0,0,0,0,741.00002,347.00001,2,227,144.00001,0,366.00006,10,0,0,0,0,0,0,126,26,0,0,0,2,320.00002,90.99996,64.99996,0,0,29.00001,0,65.99999,185.99998,429.99999,0,0,0,0,0,0,0,0,0,0,3,0,3965.99981,0,0,11,0,0,0,178.00001,0,18,0,0,17,56,0,0,0,6,0,0,0,0,0,0,18,0,15,2,15,82,0,0,130,0,30,0,0,0,276,0,232.00007,0,0,0,0,0,0,189118,0,0,0,93.99998,0,7,0,4,4,0,16,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,4,0,0,1,0,0,79,56,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,246.00002,0,0,159,0,0,0,0,0,5,0,0,0,0,0,0,48.99999,0,0,0,92.99999,0,0,0,0,0,0,0,0,0
Bermuda,0,18,0,0,0,15219,7,4,0,0,0,2,23,0,7,0,3,0,22,0,8,16,200,0,0,0,0,4,3100,118,27,11,117,4,6,0,0,0,0,0,0,0,17,4,0,0,0,0,25,2,26,0,0,43,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,2714,0,0,0,0,0,0,34,6,8,0,0,0,10,0,0,0,0,0,0,0,6,0,0,101,0,3,2,0,0,0,0,4,0,159,0,0,0,80,1,15,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,3,0,9,0,5,0,0,0,5,95,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,9,0,0,0,0,140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,21,0,0,0,0,0,0,0,0,0
Seychelles,0,209,90,0,0,99,34,6056,0,0,221,1293,3927,0,8,3046,431,0,17,0,0,14,275,0,8,551,0,76,1886,5,2,0,1794,808,0,897,26,0,9,0,0,0,14,185,0,0,0,8,3285,400,53,0,69,1648,0,0,2564,0,16,62,0,0,0,0,90,0,0,0,16,0,172,2,9,0,0,0,33,115,825,0,0,24,264,917,0,24,0,0,0,57,0,320,0,0,0,0,0,37,0,0,0,0,0,0,146,0,0,0,42,47,15,0,9,0,2,0,51,0,0,22299,25,0,31,773,30,54,49,0,0,0,0,0,0,0,0,15,0,57,0,19,689,0,0,65,0,394,0,0,9,2,707,0,0,0,149,0,21,719,0,10,7,0,0,0,108,29,813,3,0,0,0,0,0,22,0,20,1149,0,0,0,0,8,9,0,153,0,0,0,0,0,0,0,0,0,0,0,0,127,84,0,0,0,0,0,0,54,0,0,0,27,0,73,0,0,1916,0,0,0,37,0,0,0,0,785,0,0,0,0,0,0
